name,cz,HouseholdIncomeOutcome,Census_Response_Rate_Social_Capital_Proxy,IncarcerationRate,Median_Hhold._Income_of_Residents_in_2012-16,CollegeGradRate,HighSchoolGradRate,EmploymentRate,Poverty_Rate_in_2012-16,Fraction_College_Graduates_in_2012-16
"Mitchell, SD_RaceAsian",cz27006_RaceAsian,55535.0,81.56,0.0054,48669,0.3414,0.8797,0.8284,0.1102,0.2473
"Mitchell, SD_RaceBlack",cz27006_RaceBlack,0,81.56,0,48669,0,0,0,0.1102,0.2473
"Mitchell, SD_RaceWhite",cz27006_RaceWhite,57255.0,81.56,0.0044,48669,0.3429,0.8813,0.8374,0.1102,0.2473
"Mitchell, SD_RaceHispanic",cz27006_RaceHispanic,47943.0,81.56,0.0012,48669,0,0,0.7857,0.1102,0.2473
"Mitchell, SD_RaceNativeAmerican",cz27006_RaceNativeAmerican,15035.0,81.56,0.1097,48669,0,0,0.752,0.1102,0.2473
"Southwest Jackson UT, SD_RaceAsian",cz27603_RaceAsian,53395.0,75.29,0.0062,40272,0.2369,0.9544,0.7627,0.2874,0.188
"Southwest Jackson UT, SD_RaceBlack",cz27603_RaceBlack,0,75.29,0,40272,0,0,0,0.2874,0.188
"Southwest Jackson UT, SD_RaceWhite",cz27603_RaceWhite,58188.0,75.29,0.0002,40272,0.2633,0.969,0.7635,0.2874,0.188
"Southwest Jackson UT, SD_RaceHispanic",cz27603_RaceHispanic,0,75.29,0,40272,0,0,0,0.2874,0.188
"Southwest Jackson UT, SD_RaceNativeAmerican",cz27603_RaceNativeAmerican,20996.0,75.29,0.08,40272,0,0,0.8168,0.2874,0.188
"Socorro, NM_RaceAsian",cz34902_RaceAsian,33847.0,57.21,0.0131,35019,0.3565,0.873,0.7164,0.2403,0.21
"Socorro, NM_RaceBlack",cz34902_RaceBlack,0,57.21,0,35019,0,0,0,0.2403,0.21
"Socorro, NM_RaceWhite",cz34902_RaceWhite,45591.0,57.21,0.0048,35019,0.6315,0.9306,0.7777,0.2403,0.21
"Socorro, NM_RaceHispanic",cz34902_RaceHispanic,32298.0,57.21,0.0158,35019,0.0915,0.847,0.7171,0.2403,0.21
"Socorro, NM_RaceNativeAmerican",cz34902_RaceNativeAmerican,16139.0,57.21,0.0384,35019,0,0.7742,0.6684,0.2403,0.21
"Mobridge, SD_RaceAsian",cz26604_RaceAsian,54369.0,82.81,0.01,46188,0.412,0.8815,0.8159,0.1009,0.2147
"Mobridge, SD_RaceBlack",cz26604_RaceBlack,0,82.81,0,46188,0,0,0,0.1009,0.2147
"Mobridge, SD_RaceWhite",cz26604_RaceWhite,59018.0,82.81,0.0032,46188,0.4347,0.9028,0.837,0.1009,0.2147
"Mobridge, SD_RaceHispanic",cz26604_RaceHispanic,0,82.81,0,46188,0,0,0,0.1009,0.2147
"Mobridge, SD_RaceNativeAmerican",cz26604_RaceNativeAmerican,16172.0,82.81,0.1196,46188,0,0.632,0.5562,0.1009,0.2147
"Glasgow, MT_RaceAsian",cz26408_RaceAsian,51284.0,82.79,0.0125,46117,0.4325,0.8863,0.8191,0.1204,0.2002
"Glasgow, MT_RaceBlack",cz26408_RaceBlack,0,82.79,0,46117,0,0,0,0.1204,0.2002
"Glasgow, MT_RaceWhite",cz26408_RaceWhite,53982.0,82.79,0.0081,46117,0.4383,0.9011,0.8299,0.1204,0.2002
"Glasgow, MT_RaceHispanic",cz26408_RaceHispanic,0,82.79,0,46117,0,0,0,0.1204,0.2002
"Glasgow, MT_RaceNativeAmerican",cz26408_RaceNativeAmerican,23400.0,82.79,0.1485,46117,0,0,0.6868,0.1204,0.2002
"Jonesboro, AR_RaceAsian",cz25900_RaceAsian,38526.0,78.82,0.013,41961,0.2543,0.8659,0.7481,0.2031,0.1837
"Jonesboro, AR_RaceBlack",cz25900_RaceBlack,23321.0,78.82,0.0528,41961,0.1999,0.7631,0.7699,0.2031,0.1837
"Jonesboro, AR_RaceWhite",cz25900_RaceWhite,40321.0,78.82,0.0113,41961,0.2568,0.8711,0.7556,0.2031,0.1837
"Jonesboro, AR_RaceHispanic",cz25900_RaceHispanic,33925.0,78.82,0.0168,41961,0.157,0.7421,0.7441,0.2031,0.1837
"Jonesboro, AR_RaceNativeAmerican",cz25900_RaceNativeAmerican,19280.0,78.82,0.0034,41961,0,0,0.6596,0.2031,0.1837
"Brownsville, TX_RaceAsian",cz31600_RaceAsian,36038.0,69.65,0.0135,35591,0.2552,0.7797,0.7634,0.3333,0.1604
"Brownsville, TX_RaceBlack",cz31600_RaceBlack,34067.0,69.65,0.0362,35591,0.2833,0.8432,0.7692,0.3333,0.1604
