position,track name,artist,streams,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,genre,explicit,popularity,year
198,"From The D To The A (feat. Lil Yachty)","Tee Grizzley",184428,0.851,0.625,"B",-5.4170000000000025,"minor",0.303,0.195,0.0,0.266,0.6679999999999999,99.061,158684,4,"Rap","explicit",71,2017
188,"Burning","Sam Smith",21635,0.721,0.758,"B",-7.5360000000000005,"minor",0.0372,0.6709999999999999,0.8909999999999999,0.133,0.8640000000000001,150.825,191173,4,"Dark Trap","not explicit",62,2006
183,"Drew Barrymore","SZA",172101,0.758,0.574,"B",-6.888999999999999,"minor",0.0572,0.46,0.0027199999999999998,0.102,0.261,151.985,191147,4,"Hiphop","explicit",68,2017
172,"Will He","Joji",219860,0.618,0.217,"A♯",-15.372,"major",0.0515,0.836,0.00016299999999999998,0.5379999999999999,0.0872,116.014,202103,4,"Hiphop","explicit",72,2018
194,"My Choppa Hate Niggas","21 Savage",21887,0.862,0.27399999999999997,"C",-5.818,"minor",0.484,0.0974,0.185,0.183,0.146,77.493,148640,4,"Hiphop","explicit",63,2017
197,"Unforgettable","French Montana",38232,0.488,0.366,"F",-10.196,"major",0.0269,0.7979999999999999,1.4999999999999999e-05,0.11,0.16699999999999998,82.07799999999997,205605,4,"Underground Rap","not explicit",2,1951
195,"I Miss You","Grey",17910,0.382,0.578,"F",-4.246,"major",0.047,0.00982,1.4400000000000001e-05,0.433,0.156,113.072,348625,4,"Pop","not explicit",58,2015
198,"Scars To Your Beautiful","Alessia Cara",26644,0.573,0.7390000000000001,"C",-5.74,"major",0.129,0.0285,0.0,0.111,0.451,97.085,230227,4,"Pop","not explicit",74,2015
160,"Jump","French Montana",20901,0.9309999999999999,0.519,"B",-11.52,"minor",0.0766,0.00642,0.0,0.034,0.9640000000000001,120.544,139640,4,"Hiphop","not explicit",22,1976
66,"goosebumps","Travis Scott",43431,0.847,0.7190000000000001,"E",-3.3,"minor",0.0468,0.0868,0.0,0.14800000000000002,0.442,130.032,243837,4,"Hiphop","not explicit",61,2016
169,"Badlands","Alyssa Reid",19203,0.3720000000000001,0.912,"A",-8.832,"minor",0.0713,0.0016300000000000002,0.0275,0.297,0.45899999999999996,166.889,444453,4,"Underground Rap","not explicit",34,1989
