position,streams,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,popularity,year,2,3,4,5,6,7,8,9
198.0,184428.0,0.851,0.625,-5.4170000000000025,0.303,0.195,0.0,0.266,0.6679999999999999,99.061,158684.0,4.0,71.0,2017.0,0,1,2,2,1,5,2,6
188.0,21635.0,0.721,0.758,-7.5360000000000005,0.0372,0.6709999999999999,0.8909999999999999,0.133,0.8640000000000001,150.825,191173.0,4.0,62.0,2006.0,1,0,1,0,5,2,1,7
183.0,172101.0,0.758,0.574,-6.888999999999999,0.0572,0.46,0.0027199999999999998,0.102,0.261,151.985,191147.0,4.0,68.0,2017.0,0,1,2,2,2,5,2,6
172.0,219860.0,0.618,0.217,-15.372,0.0515,0.836,0.00016299999999999998,0.5379999999999999,0.0872,116.014,202103.0,4.0,72.0,2018.0,1,0,1,1,4,0,7,1
194.0,21887.0,0.862,0.27399999999999997,-5.818,0.484,0.0974,0.185,0.183,0.146,77.493,148640.0,4.0,63.0,2017.0,0,1,0,2,2,6,3,5
197.0,38232.0,0.488,0.366,-10.196,0.0269,0.7979999999999999,1.4999999999999999e-05,0.11,0.16699999999999998,82.07799999999997,205605.0,4.0,2.0,1951.0,1,0,1,1,4,0,7,1
195.0,17910.0,0.382,0.578,-4.246,0.047,0.00982,1.4400000000000001e-05,0.433,0.156,113.072,348625.0,4.0,58.0,2015.0,0,1,0,2,2,6,5,8
198.0,26644.0,0.573,0.7390000000000001,-5.74,0.129,0.0285,0.0,0.111,0.451,97.085,230227.0,4.0,74.0,2015.0,0,1,0,2,2,6,3,5
160.0,20901.0,0.9309999999999999,0.519,-11.52,0.0766,0.00642,0.0,0.034,0.9640000000000001,120.544,139640.0,4.0,22.0,1976.0,0,2,3,3,3,1,0,0
66.0,43431.0,0.847,0.7190000000000001,-3.3,0.0468,0.0868,0.0,0.14800000000000002,0.442,130.032,243837.0,4.0,61.0,2016.0,0,1,2,4,0,3,6,3
169.0,19203.0,0.3720000000000001,0.912,-8.832,0.0713,0.0016300000000000002,0.0275,0.297,0.45899999999999996,166.889,444453.0,4.0,34.0,1989.0,0,2,3,3,3,4,5,8
195.0,19784.0,0.6970000000000001,0.7709999999999999,-6.295,0.0599,0.244,0.0,0.295,0.617,79.92699999999998,258670.0,4.0,47.0,2002.0,0,2,0,2,1,4,4,4
191.0,16345.0,0.542,0.401,-16.567,0.028999999999999998,0.0493,0.0025399999999999997,0.109,0.764,126.57,307267.0,4.0,39.0,1990.0,0,2,3,3,1,4,4,4
198.0,28002.0,0.7440000000000001,0.897,-4.378,0.121,0.0659,0.0,0.225,0.721,124.976,196759.0,5.0,39.0,2020.0,0,2,3,3,1,4,4,4
175.0,19769.0,0.665,0.535,-7.056,0.0572,0.0786,1.6800000000000002e-05,0.154,0.37,138.842,275253.0,4.0,70.0,2017.0,0,1,0,2,2,6,3,5
168.0,35970.0,0.52,0.267,-7.394,0.0408,0.858,0.0,0.11,0.38299999999999995,111.884,244821.0,4.0,7.0,2020.0,1,0,1,1,4,0,7,1
46.0,125270.0,0.667,0.316,-9.132,0.0262,0.0292,0.00613,0.147,0.156,100.99799999999999,313663.0,4.0,62.0,2017.0,0,1,2,4,0,3,6,3
182.0,18395.0,0.168,0.858,-4.617,0.0658,0.0336,8.65e-05,0.293,0.599,140.939,101507.0,4.0,26.0,1982.0,0,2,3,3,3,4,5,8
198.0,36054.0,0.6579999999999999,0.535,-8.982999999999997,0.0573,0.0265,0.0,0.2,0.419,110.684,227360.0,4.0,71.0,2017.0,0,1,0,2,2,6,3,5
26.0,173640.0,0.626,0.6559999999999999,-7.051,0.0289,0.0222,0.0,0.106,0.5529999999999999,143.958,256000.0,4.0,0.0,2020.0,0,2,3,4,3,1,0,0
186.0,21419.0,0.769,0.156,-10.7,0.035,0.585,0.015,0.102,0.527,105.95,144733.0,4.0,73.0,2017.0,1,0,1,1,4,0,7,1
50.0,54292.0,0.89,0.633,-5.475,0.168,0.0232,0.000343,0.0993,0.425,139.94799999999998,233087.0,4.0,72.0,2017.0,0,1,2,4,0,3,6,3
200.0,19229.0,0.95,0.743,-5.8610000000000015,0.23800000000000002,0.0646,1.1900000000000001e-05,0.10300000000000001,0.62,136.98,257546.0,4.0,63.0,2017.0,0,1,0,2,1,4,4,4
199.0,153929.0,0.272,0.9490000000000001,-7.069,0.114,0.000363,0.517,0.321,0.245,115.17299999999999,332493.0,4.0,0.0,1930.0,0,2,3,0,5,2,1,7
182.0,19245.0,0.9079999999999999,0.557,-4.243,0.107,0.242,0.0,0.0709,0.897,90.03200000000002,230133.0,4.0,72.0,2001.0,0,1,0,2,1,4,4,4
170.0,182732.0,0.7609999999999999,0.847,-3.068,0.0417,0.0292,2.26e-06,0.39,0.765,91.51899999999999,284480.0,4.0,65.0,2007.0,0,1,2,2,1,5,2,6
186.0,19947.0,0.413,0.426,-11.833,0.0287,0.0506,3.8e-06,0.14800000000000002,0.23600000000000002,137.66299999999998,309080.0,3.0,26.0,1977.0,0,2,3,3,3,1,5,2
190.0,41379.0,0.677,0.485,-5.795,0.0361,0.529,2.0399999999999998e-05,0.0766,0.493,82.001,239317.0,4.0,81.0,2014.0,1,0,1,1,4,6,3,5
199.0,20704.0,0.83,0.585,-5.8020000000000005,0.0366,0.225,0.00209,0.0576,0.642,105.03,228600.0,4.0,78.0,2017.0,0,1,0,2,2,6,4,4
186.0,46430.0,0.371,0.845,-4.199,0.0399,0.0075299999999999985,0.0,0.0556,0.47100000000000003,112.198,213200.0,4.0,54.0,2007.0,0,1,0,2,1,4,5,8
200.0,31563.0,0.254,0.9590000000000001,-4.527,0.191,0.00613,7.42e-06,0.337,0.493,176.273,137307.0,4.0,39.0,1996.0,0,2,3,3,1,4,5,8
198.0,18046.0,0.66,0.491,-6.645,0.10099999999999999,0.0338,0.0,0.10099999999999999,0.376,154.132,199520.0,4.0,61.0,2017.0,0,1,0,2,2,6,3,5
